"Player","Twitter"
"Kosta Koufos","kostakoufos"
"Kyle Kuzma","kylekuzma"
"Mindaugas Kuzminskas","MKuzminskas"
"Skal Labissiere","OneBigHaitian"
"Joffrey Lauvergne","1JOLOLO"
"Zach LaVine","ZachLaVine"
"Ty Lawson","TyLawson3"
"Jake Layman","JLayman10"
"Courtney Lee","CourtneyLee2211"
"David Lee","Dlee042"
"Alex Len","alexlen"
"Kawhi Leonard","kawhileonard"
"Meyers Leonard","MeyersLeonard11"
"Caris LeVert","CarisLeVert"
"DeAndre Liggins","Dreliggs34"
"Damian Lillard","Dame_Lillard"
"Jeremy Lin","JLin7"
"Kevon Looney","Loon_Rebel5"
"Robin Lopez","rolopez42"
"Kevin Love","kevinlove"
"Kyle Lowry","Klow7"
"John Lucas III","Luke1luk"
"Timothe Luwawu-Cabarrot","timcabs"
"Tyler Lydon","Tyler_Lydon14"
"Trey Lyles","TreyLyles"
"Shelvin Mack","ShelvinMack"
"Ian Mahinmi","ianmahinmi"
"Thon Maker","ThonMaker14"
"Lauri Markkanen","MarkkanenLauri"
"Jarell Martin","MartinJarell"
"Frank Mason","FrankMason0"
"Mangok Mathiang","M_Mango32"
"Wesley Matthews","WessyWes23"
"Luc Mbah a Moute","mbahamoute"
"James Michael McAdoo","jamesmcadoo"
"Ray McCallum","RayMac3"
"Patrick McCaw","PMcCaw0"
"CJ McCollum","CJMcCollum"
"T.J. McConnell","TJMcConnell"
"Doug McDermott","dougmcdermott"
"JaVale McGee","JaValeMcGee34"
"Trey McKinney-Jones","TreyMJ04"
"Ben McLemore","BenMcLemore"
"Jordan McRae","JordyMac52"
"Jodie Meeks","Jmeeks20"
"Salah Mejri","50Mejri"
"Jordan Mickey","Jmickey_02"
"Khris Middleton","Khris22m"
"Mike Miller","MikeMiller_13"
"Patty Mills","Patty_Mills"
"Paul Millsap","Paulmillsap4"
"Nikola Mirotic","threekola"
"Donovan Mitchell","spidadmitchell"
"Naz Mitrou-Long","NazzyJML"
"Malik Monk","AhmadMonk"
"Greg Monroe","M10OSE"
"Ben Moore","JaminTheFiend"
"E'Twaun Moore","ETwaun55"
"Marcus Morris","MookMorris2"
"Markieff Morris","Keefmorris"
"Monte Morris","MonteMorris11"
"Anthony Morrow","MrAnthonyMorrow"
"Donatas Motiejunas","DonatasMot"
"Emmanuel Mudiay","emmanuelmudiay"
"Shabazz Muhammad","ShabazzMuhammad"
"Xavier Munford","xaviermunford"
"Dejounte Murray","DejounteMurray"
"Jamal Murray","BeMore27"
"Shabazz Napier","ShabazzNapier"
"Jameer Nelson","jameernelson"
"Andrew Nicholson","nicholaf44"
"Joakim Noah","JoakimNoah"
"Nerlens Noel","NerlensNoel3"
"Dirk Nowitzki","swish41"
"Frank Ntilikina","FrankLikina"
"Jusuf Nurkic","bosnianbeast27"
"David Nwaba","dnwaba0"
"Royce O'Neale","BucketsONeale00"
"Kyle O'Quinn","Kyle_OQuinn"
"Semi Ojeleye","Semi"
"Emeka Okafor","BigMek50"
"Jahlil Okafor","JahlilOkafor"
"Victor Oladipo","VicOladipo"
"Kelly Olynyk","KellyOlynyk"
"Arinze Onuaku","arinze_onuaku"
"Cedi Osman","cediosman"
"Zaza Pachulia","zaza27"
"Georgios Papagiannis","G_P_06"
"Jabari Parker","JabariParker"
"Tony Parker","tonyparker"
"Chandler Parsons","ChandlerParsons"
"Lamar Patterson","LP21_"
"Patrick Patterson","pdpatt"
"Justin Patton","JustinPatton17"
"Chris Paul","CP3"
"Adreian Payne","Adreian_Payne"
"Cameron Payne","campayne"
"Elfrid Payton","elfrid"
"Kendrick Perkins","KendrickPerkins"
"London Perrantes","London_Tyus"
"Alec Peters","petersalec"
"Paul Pierce","paulpierce34"
"Marshall Plumlee","marshallplumlee"
"Miles Plumlee","milesplumlee13"
"Quincy Pondexter","QuincyPondexter"
"Bobby Portis","BPortistime"
"Kristaps Porzingis","kporzee"
"Dwight Powell","DwightPowell33"
"Norman Powell","npowell2404"
"Jacob Pullen","Jpullz0"
"Rodney Purvis","Gpurvooo"
"Tim Quarterman","TimQuarterman1"
"Ivan Rabb","YoungIvee"
"Chasson Randle","ChassonRandle"
"Julius Randle","J30_RANDLE"
"Zach Randolph","MacBo50"
"Xavier Rathan-Mayes","xrm_22"
"Davon Reed","ClutchREED_5"
"Josh Richardson","J_Rich1"
"Malachi Richardson","KingMali23"
"Austin Rivers","AustinRivers25"
"Andre Roberson","FlyDre21"
"Devin Robinson","drobbb3"
"Thomas Robinson","Trobinson0"
"Sergio Rodriguez","SergioRodriguez"
"Rajon Rondo","RajonRondo"
"Derrick Rose","drose"
"Terrence Ross","T_DotFlight31"
"Terry Rozier","T_Rozzay3"
"Ricky Rubio","rickyrubio9"
"Brandon Rush","BRush_25"
"D'Angelo Russell","Dloading"
"Domantas Sabonis","Dsabonis11"
"Larry Sanders","l8show_thegoat"
"Dario Saric","dariosaric"
"Tomas Satoransky","satoransky"
"Dennis Schroder","DennisMike93"
"Luis Scola","LScola4"
"Mike Scott","mikescott"
"Thabo Sefolosha","ThaboSefolosha"
"Kevin Seraphin","kslife7"
"Iman Shumpert","imanshumpert"
"Pascal Siakam","pskills43"
"Ben Simmons","BenSimmons25"
"Jonathon Simmons","ThaRealJsimms"
"Kyle Singler","KyleSingler"
"Marcus Smart","smart_MS3"
"Ish Smith","ishsmith"
"Jason Smith","JasonSmith014"
"Marreese Speights","Mospeights16"
"Tiago Splitter","tiagosplitter"
"Nik Stauskas","NStauskas11"
"Lance Stephenson","StephensonLance"
"David Stockton","dstockton32"
"Jarnell Stokes","JarnellStokes"
"Jared Sullinger","Jared_Sully0"
"Edmond Sumner","EdmondSumner"
"Caleb Swanigan","calebswanigan50"
"Jayson Tatum","jaytatum0"
"Edy Tavares","waltertavares22"
"Jeff Teague","Teague0"
"Marquis Teague","marquisteague25"
"Garrett Temple","GTemp14"
"Jason Terry","jasonterry31"
"Daniel Theis","dtheis10"
"Isaiah Thomas","Isaiah_Thomas"
"Klay Thompson","KlayThompson"
"Tristan Thompson","RealTristan13"
"Marcus Thornton","OfficialMT23"
"Marcus Thornton","M3Thornton"
"Sindarius Thornwell","Sin_City_803"
"Mike Tobey","miketobey10"
"Anthony Tolliver","ATolliver44"
"Karl-Anthony Towns","KarlTowns"
"Evan Turner","thekidet"
"Myles Turner","Original_Turner"
"Ekpe Udoh","EkpeUdoh"
"Beno Udrih","BenoUdrih1"
"Jarrod Uthoff","Mr_Uthoff"
"Jonas Valanciunas","JValanciunas"
"Denzel Valentine","denzelvalentine"
"Fred VanVleet","FredVanVleet"
"Anderson Varejao","VAREJAOANDERSON"
"Greivis Vasquez","greivisvasquez"
"Rashad Vaughn","ShowtimeMr1"
"Noah Vonleh","NoahVonleh"
"Nikola Vucevic","NikolaVucevic"
"Sasha Vujacic","SashaVujacic"
"Dwyane Wade","DwyaneWade"
"Dion Waiters","dionwaiters3"
"Kemba Walker","KembaWalker"
"John Wall","JohnWall"
"Jameel Warney","Fullcoursemeelz"
"C.J. Watson","quietstorm_32"
"Travis Wear","traviswear"
"Briante Weber","Sir_deuce2"
"David West","D_West30"
"Russell Westbrook","russwest44"
"Derrick White","Dwhite921"
"Hassan Whiteside","youngwhiteside"
"Andrew Wiggins","22wiggins"
"Jacob Wiley","Jwiley_24"
"Damien Wilkins","dwilkins3000"
"Alan Williams","alantwilliams"
"Deron Williams","DeronWilliams"
"Lou Williams","TeamLou23"
"Mo Williams","mowilliams"
"Reggie Williams","reggiew55"
"Troy Williams","troywilliams_"
"D.J. Wilson","Lanky_Smoove"
"Kyle Wiltjer","kwiltj"
"Justise Winslow","IAmJustise"
"Jeff Withey","JeffWithey"
"Nate Wolters","NateWolters"
"Metta World Peace","MettaWorldPeace"
"Brandan Wright","bwright34"
"Delon Wright","delonwright"
"James Young","realjamesyoung"
"Nick Young","NickSwagyPYoung"
"Thaddeus Young","yungsmoove21"
"Cody Zeller","CodyZeller"
"Tyler Zeller","ZellerTyler"
"Ivica Zubac","ivicazubac"
